CustomerID,Lookalikes
C0001,"[('C0107', 0.9999), ('C0190', 0.9997), ('C0048', 0.9995)]"
C0002,"[('C0178', 0.9973), ('C0159', 0.9955), ('C0128', 0.9774)]"
C0003,"[('C0133', 0.9999), ('C0052', 0.9999), ('C0031', 0.9989)]"
C0004,"[('C0165', 0.996), ('C0153', 0.9906), ('C0126', 0.9903)]"
C0005,"[('C0186', 0.9997), ('C0007', 0.9988), ('C0115', 0.9953)]"
C0006,"[('C0187', 0.9964), ('C0011', 0.9953), ('C0171', 0.9949)]"
C0007,"[('C0115', 0.9988), ('C0005', 0.9988), ('C0186', 0.9973)]"
C0008,"[('C0194', 0.987), ('C0024', 0.9869), ('C0065', 0.9853)]"
C0009,"[('C0062', 0.9988), ('C0061', 0.9967), ('C0010', 0.9963)]"
C0010,"[('C0111', 0.9977), ('C0062', 0.9977), ('C0061', 0.9973)]"
C0011,"[('C0137', 0.9995), ('C0191', 0.9982), ('C0174', 0.9977)]"
C0012,"[('C0113', 0.998), ('C0163', 0.9976), ('C0104', 0.9964)]"
C0013,"[('C0099', 0.9981), ('C0108', 0.998), ('C0129', 0.9485)]"
C0014,"[('C0060', 0.9999), ('C0089', 0.9867), ('C0166', 0.9694)]"
C0015,"[('C0131', 0.9929), ('C0094', 0.9818), ('C0125', 0.9703)]"
C0016,"[('C0183', 1.0), ('C0072', 0.9986), ('C0055', 0.998)]"
C0017,"[('C0041', 0.9919), ('C0057', 0.9904), ('C0064', 0.9765)]"
C0018,"[('C0125', 0.9874), ('C0047', 0.9743), ('C0139', 0.9696)]"
C0019,"[('C0064', 0.9843), ('C0057', 0.9831), ('C0070', 0.9817)]"
C0020,"[('C0050', 0.9807), ('C0035', 0.9729), ('C0026', 0.965)]"
